latitude,longitude
37.5014009,127.1586471
37.6449368,127.0737283
37.6403353,127.0776372
37.6457235,127.0204494
37.6597831,127.0311865
37.5023386,127.1230275
37.6397013,127.0657916
37.6232494,127.0689643
37.6307835,127.0486895
37.5030986,127.1424217
37.6295194,127.0515124
37.6280905,127.0532717
37.62722,127.0516875
37.4975793,127.1512743
37.6348705,127.0712993
37.6370714,127.0633298
37.6442022,127.0614697
37.651721,127.0571617
37.6519915,127.0592957
37.6492494,127.0586622
37.6504775,127.0633196
37.6512797,127.066805
37.6703363,127.0555516
37.6679446,127.053321
37.6657426,127.0532382
37.6660853,127.054735
37.6628704,127.0543004
37.6628526,127.0561867
37.6692745,127.0583338
37.6680075,127.0620318
37.6632746,127.059867
37.65905,127.0567235
37.6599011,127.061065
37.6875646,127.053304
37.5010265,126.8904376
37.5977875,127.0211775
37.6106601,126.9935398
37.582363,127.0090132
37.5838929,127.0165128
37.6108306,127.0386769
37.6015468,127.0389498
37.6203285,127.0533143
37.62994,127.0429154
37.6320995,127.0255859
37.6335613,127.0252706
37.6182163,127.0243007
37.6181523,127.0270601
37.6357842,127.0249482
37.6393474,127.0329993
37.6297165,127.0398433
37.6237396,127.0464875
37.6331769,127.0206696
37.6424025,127.0268239
37.6405571,127.0244424
37.6201422,127.0350955
37.6539114,127.0508754
37.6631998,127.0419887
37.6876469,127.040677
37.646582,127.0450197
37.6430857,127.0486333
37.6468398,127.0518019
37.6503967,127.0529641
37.6475738,127.050902
37.674712,127.0620735
37.6695451,127.0505111
37.650782,127.0646754
37.648671,127.0711077
37.6471886,127.0756055
37.645291,127.0566435
37.6439642,127.0881208
37.6426723,127.0874134
37.644169,127.0881482
37.5390641,126.898631
37.5033253,126.8992024
37.5214533,126.9037833
37.6496495,127.0437917
37.6486447,127.0664323
37.4984624,126.8973129
37.492789,126.899438
37.5015457,126.9061645
37.5096947,126.8903898
37.4965469,126.8564394
37.5162236,126.9153946
37.4980415,126.9219398
37.4924428,126.9369933
37.5139956,126.8828703
37.6575682,127.0613426
37.5082997,126.9544141
37.503168,126.9780267
37.504625,126.9752058
37.499176,126.9844917
37.4939764,126.9411029
37.5102375,126.9285703
37.5075563,126.9278282
37.506801,126.9355832
37.5138449,126.9481992
37.4858652,126.9745605
37.4778253,126.9556392
37.484139,126.9263886
37.4688286,126.9316063
37.4847939,126.9033032
37.4614817,126.9329263
37.4593349,126.9291917
37.4670754,126.9472006
37.458914,126.9461979
37.4550754,126.9471745
37.4711668,126.9602006
37.4454321,127.0570701
37.4682722,127.0311235
37.5380333,127.0923891
37.5320208,127.0878849
37.5459266,127.103908
37.535781,127.0777057
37.5302033,127.0824409
37.5415522,127.0696986
37.5463893,127.0679173
37.5427206,127.0669007
37.5628462,127.0961772
37.4700452,126.9325326
37.5369695,127.0946358
37.5480701,127.1006935
37.5403016,127.1016403
37.5307597,127.0813548
37.5415522,127.0696986
37.5589084,127.0910671
37.5828774,127.050621
37.5901291,127.055376
37.5616111,127.0270029
37.5468061,127.0778508
37.6145493,127.1009212
37.5856761,127.0913319
37.597671,127.0966698
37.5931827,127.0823863
37.5981593,127.0774472
37.5731232,127.0833126
37.5768823,127.084358
37.604121,127.0805124
37.5808711,127.0965242
